Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5
S시금치된장죽,,검정콩밥,오이냉국,새우살칠리소스볶음,미나리초무침,깍두기,S무지개떡,S우유(100ml),수수밥,순두부찌개,돼지고기수육,상추+쌈장,깍두기
S해물죽,,찹쌀현미밥,북어김칫국,닭가슴살숙주볶음,부추나물,깍두기,S토마토,S우유(100ml),기장밥,새우맑은국,쇠고기브로콜리볶음,미나리나물,배추김치
S우유(200ml),,크림소스스파게티,새싹채소샐러드(오리엔탈드레싱),S복숭아,,배추김치,S참치주먹밥,S보리차,,,,,
S흰죽,,흑미밥,콩가루배춧국,돼지고기곤약볶음,쑥갓나물,깍두기,S포도,S우유(100ml),백미밥,숙주맑은국,닭가슴살부추무침,견과류멸치볶음,배추김치
S옥수수죽,,검정콩밥,애호박된장국,두부스테이크,콩나물무침,깍두기,S버터감자구이,S우유(100ml),수수밥,미역국,돼지불고기,배추나물,깍두기
S브로콜리죽,,백미밥,감자미역국,돼지갈비찜,시금치나물,깍두기,S케이크,S우유(100ml),,,,,
S수박,,완두콩밥,달걀팟국,돼지고기떡볶음,깻잎순나물볶음,배추김치,S피자빵,S우유(150ml),,,,,
S쇠고기죽,,흑미밥,온도토리묵국,단호박오징어찜,건파래무침,깍두기,S증편,S떠먹는요구르트(100ml),,,,,
S참외,,백미밥,크림스프,돈까스,과일샐러드,깍두기,S찐감자,S우유(150ml),,,,,
S오트밀죽,,보리밥,청국장찌개,쇠고기파프리카볶음,땅콩우엉조림,배추김치,S물만두,,,,,,
S복숭아(황도),S우유(100ml),차조밥,애호박맑은국,동태살엿장조림,오이초절임,배추김치,S유부초밥,S보리차,,,,,
S우유(200ml),,김가루주먹밥,잔치국수,생선까스+타르타르소스,,배추김치,S백설기(80g),S보리차,,,,,
S방울토마토,S떠먹는요구르트(100ml),흑미밥,얼갈이된장국,쇠고기가지볶음,견과류멸치볶음,깍두기,S짜장면,,,,,,
S달걀채소죽,,백미밥(추가),감자수제비,갈치구이,팽이맛살볶음,배추김치,S찐옥수수,S우유(150ml),,,,,
S바나나,,수수밥,버섯찌개,돼지갈비찜,열무나물,배추김치,S프렌치토스트,S우유(150ml),,,,,
S청경채죽,,검정콩밥,가지냉국,달걀장조림,애호박나물,깍두기,S약식,S우유(150ml),,,,,
S키위,,찹쌀밥,삼계탕,부추전,S참외,깍두기,S보리차,S크림떡볶이,,,,,
S우유(200ml),,안매운마파두부덮밥,배추된장국,라조기,,깍두기,S카스텔라,S보리차,,,,,
S씨리얼,S우유(150ml),흑미밥,아욱된장국,돼지고기수육,치커리유자청무침,배추김치,S오이비빔국수,,,,,,
S흑임자죽,,기장밥,순두부백탕,삼치조림,도라지오이무침,배추김치,S단호박샐러드,S우유(200ml),,,,,
S포도,,쇠고기하이라이스,콩나물국,메추리알장조림,,배추김치,S가지카레튀김,S우유(200ml),,,,,
S닭죽,,잡곡밥,쇠고깃국,안매운참치김치볶음,감자채볶음,깍두기,S참외,S떠먹는요구르트(100ml),,,,,
S우유(150ml),S핫케이크,수수밥,열무된장국,찹쌀탕수육,콩자반,깍두기,S수박,,,,,,
S파인애플,,오므라이스,어묵국,S미니핫도그,,배추김치,S머핀,S떠먹는요구르트(100ml),,,,,
S자두,,수수밥,안매운닭개장,새우살칠리소스볶음,깍두기,탕평채,S소보로빵,S우유(150ml),,,,,
S두부들깨죽,,차조밥,조랭이떡국,돼지고기파프리카볶음,부추나물,배추김치,S삶은달걀,S우유(150ml),,,,,
S수제블루베리우유,,해물볶음밥,유부장국,마카로니오이샐러드,,배추김치,S(우유제외)수박화채,,,,,,
S쇠고기죽,,기장밥,양배추된장국,고등어구이,애호박나물,배추김치,S무지개떡,S우유(150ml),,,,,
S복숭아(황도),S우유(200ml),찹쌀현미밥,애호박된장국,닭가슴살숙주볶음,느타리버섯볶음,깍두기,S오미자차,S영양밥전,,,,,
S우유(200ml),,돼지고기볶음밥,안매운김칫국,감자조림,,깍두기,S멸치주먹밥,S보리차,,,,,
S우유(200ml),S바나나,흑미밥,콩가루배추국,돼지고기곤약볶음,진미채간장조림,배추김치,S토마토스크램블에그,,,,,,
S옥수수죽,,수수밥,북엇국,두부버섯스테이크,우엉잡채,배추김치,S치즈스틱,,,,,,
S청포도,,백미밥,갈비탕,애호박전,오이소박이,깍두기,S버터감자구이,S우유(200ml),,,,,
S복숭아(황도),S우유(150ml),차조밥,애호박맑은국,대구살조림,노각무침,배추김치,S유부초밥,S보리차,,,,,
S청경채죽,,검정콩밥,대구살맑은국,달걀장조림,감자채볶음,깍두기,S약식,S우유(150ml),,,,,
S씨리얼,S우유(150ml),흑미밥,아욱된장국,돼지고기깻잎볶음,양배추찜,열무 김치,S오이비빔국수,,,,,,
S흑임자죽,,기장밥,순두부백탕,동태살엿장조림,도라지오이무침,배추김치,S단호박샐러드,S우유(150ml),,,,,
S포도,,쇠고기하이라이스,콩나물국,곤약메추리알장조림,,배추김치,S핫케이크,S우유(150ml),,,,,
S참치채소죽,,잡곡밥,안매운김칫국,쇠고기버섯볶음,감자조림,깍두기,S참외,S떠먹는요구르트(100ml),,,,,
S수박,,수수밥,열무된장국,찹쌀탕수육,콩자반,깍두기,S가지카레튀김,S우유(150ml),,,,,
S우유(200ml),,완두콩밥,어묵국,닭가슴살채소볶음,감자전,배추김치,S머핀,S파인애플,,,,,
S자두,,수수밥,안매운닭개장,새우살칠리소스볶음,깍두기,탕평채,S소보로빵,S우유(150ml),,,,,
S두부들깨죽,,차조밥,조랭이떡국,돼지고기파프리카볶음,부추무침,배추김치,S삶은달걀,S우유(150ml),,,,,
S수제블루베리우유,,쇠고기볶음밥,유부장국,마카로니오이샐러드,,배추김치,S청포도,,,,,,
S닭죽,,기장밥,양배추된장국,고등어구이,노각무침,배추김치,S무지개떡,S우유(150ml),,,,,
S사과,S우유(200ml),찹쌀현미밥,애호박맑은국,순살간장닭갈비,느타리버섯볶음,깍두기,S영양밥전,S오미자차,,,,,
S우유(200ml),,흑미밥,오이미역냉국,쇠고기굴소스볶음,진미채무침,배추김치,S치즈주먹밥,S보리차,,,,,
S복숭아(황도),S우유(200ml),흑미밥,콩가루배추국,돼지고기곤약볶음,우엉잡채,배추김치,S토마토스크램블에그,,,,,,
S옥수수죽,,수수밥,북엇국,두부버섯스테이크,김구이,배추김치,S치즈스틱,S떠먹는요구르트(100ml),,,,,
S수박,,완두콩밥,달걀팟국,돼지고기떡볶음,깻잎순나물볶음,배추김치,S피자빵,S우유(150ml),,,,,
S부추닭죽,,흑미밥,온도토리묵국,단호박오징어찜,건파래무침,깍두기,S증편,S떠먹는요구르트(100ml),,,,,
S참외,,백미밥,크림스프,돈까스,과일샐러드,깍두기,S찐감자,S우유(150ml),,,,,
S오트밀죽,,보리밥,청국장찌개,쇠고기파프리카볶음,땅콩우엉조림,배추김치,S물만두,,,,,,
S복숭아(황도),S우유(150ml),김가루주먹밥,잔치국수,생선까스+타르타르소스,배추김치,배추김치,S백설기(80g),S보리차,,,,,
S우유(200ml),,차조밥,애호박맑은국,대구살조림,노각무침,배추김치,S유부초밥,S보리차,,,,,
S청경채죽,,검정콩밥,가지냉국,달걀장조림,감자채볶음,깍두기,S약식,S우유(150ml),,,,,
S우유(200ml),,안매운마파두부덮밥,배추된장국,S미니핫도그,,깍두기,S카스텔라,S보리차,,,,,
S자두,,수수밥,안매운닭개장,새우살칠리소스볶음,콩자반,깍두기,S소보로빵,S우유(150ml),,,,,
S두부들깨죽,,차조밥,조랭이떡국,돼지고기파프리카볶음,상추부추무침,배추김치,S삶은달걀,S우유(150ml),,,,,
S수제블루베리우유,,쇠고기볶음밥,유부장국,마카로니오이샐러드,,배추김치,S(우유제외)수박화채,,,,,,
S쇠고기죽,,기장밥,양배추된장국,고등어구이,노각무침,배추김치,S무지개떡,S우유(150ml),,,,,
S사과,S우유(150ml),찹쌀현미밥,북엇국,순살간장닭갈비,느타리버섯볶음,깍두기,S영양밥전,S오미자차,,,,,
S우유(200ml),,흑미밥,미역국,쇠고기굴소스볶음,진미채무침,배추김치,S치즈주먹밥,S보리차,,,,,
S오트밀죽,,보리밥,청국장찌개,쇠고기파프리카볶음,건파래무침,배추김치,S물만두,,,,,,
S유부초밥,S보리차,차조밥,애호박맑은국,대구살조림,오이초절임,배추김치,S복숭아(황도),S우유(150ml),,,,,
S우유(200ml),,백미밥(추가),메밀국수,채소튀김,,배추김치,S백설기(80g),S보리차,,,,,
S우유(200ml),,안매운마파두부덮밥,배추된장국,마카로니오이샐러드,,깍두기,S카스텔라,S보리차,,,,,
S쇠고기죽,,검정콩밥,대구살맑은국,달걀장조림,오이나물,깍두기,S약식,S우유(150ml),,,,,
S씨리얼,S우유(150ml),흑미밥,아욱된장국,돼지고기수육,양배추찜,배추김치,S오이비빔국수,,,,,,
S흑임자죽,,기장밥,순두부백탕,동태살엿장조림,도라지배무침,배추김치,S단호박샐러드,S우유(200ml),,,,,
S포도,,쇠고기하이라이스,콩나물국,메추리알피망케첩조림,,배추김치,S가지카레튀김,S우유(200ml),,,,,
S청경채죽,,잡곡밥,쇠고깃국,참치김치볶음,시금치나물,깍두기,S참외,S떠먹는요구르트(100ml),,,,,
S핫케이크,S우유(150ml),수수밥,열무된장국,찹쌀탕수육,탕평채,깍두기,S수박,,,,,,
S파인애플,,완두콩밥,어묵국,닭가슴살채소볶음,감자전,배추김치,S머핀,S우유(150ml),,,,,
S자두,,수수밥,안매운닭개장,새우살칠리소스볶음,콩나물무침,깍두기,S소보로빵,S우유(150ml),,,,,
S두부들깨죽,,차조밥,유부장국,돼지고기파프리카볶음,상추부추무침,배추김치,S삶은달걀,S우유(150ml),,,,,
S수제블루베리우유,,쇠고기볶음밥,만둣국,고구마맛탕,,배추김치,S수박,,,,,,
S닭죽,,기장밥,애호박된장국,고등어구이,노각무침,배추김치,S무지개떡,S우유(150ml),,,,,
S영양밥전,S오미자차,찹쌀현미밥,콩가루배추국,쇠고기굴소스볶음,느타리버섯볶음,깍두기,S사과,S우유(200ml),,,,,
S우유(200ml),,흑미밥,오이미역냉국,닭가슴살숙주볶음,김구이,배추김치,S치즈주먹밥,S보리차,,,,,
S복숭아(황도),S우유(200ml),흑미밥,북엇국,돈육간장볶음,오이나물,배추김치,S토마토스크램블에그,,,,,,
S옥수수죽,,수수밥,양배추된장국,두부버섯스테이크,우엉잡채,깍두기,S치즈스틱,S떠먹는요구르트(100ml),,,,,
S수박,,완두콩밥,달걀팟국,돼지고기떡볶음,깻잎순나물볶음,배추김치,S유부초밥,S우유(150ml),,,,,
S쇠고기죽,,흑미밥,온도토리묵국,단호박오징어찜,땅콩우엉조림,깍두기,S증편,S떠먹는요구르트(100ml),,,,,
S참외,,백미밥,크림스프,돈까스,과일샐러드,깍두기,S찐감자,S우유(150ml),,,,,
S오트밀죽,,보리밥,청국장찌개,쇠고기파프리카볶음,건파래무침,배추김치,S물만두,,,,,,
S복숭아(황도),S우유(150ml),차조밥,애호박맑은국,대구살조림,,오이초절임,S피자빵,S우유(150ml),,,,,
S우유(200ml),,김가루주먹밥,미니메밀국수,채소튀김,,배추김치,S백설기(80g),S보리차,,,,,
S우유(200ml),,안매운마파두부덮밥,배추된장국,S미니핫도그,,깍두기,S카스텔라,S보리차,,,,,
S흑임자죽,,기장밥,순두부백탕,동태살엿장조림,도라지배무침,배추김치,S단호박샐러드,S우유(200ml),,,,,
S포도,,하이라이스,콩나물국,메추리알피망케첩조림,,배추김치,S가지카레튀김,S우유(200ml),,,,,
S청경채죽,,잡곡밥,쇠고깃국,참치김치볶음,시금치나물,깍두기,S참외,S떠먹는요구르트(100ml),,,,,
S수박,,수수밥,열무된장국,찹쌀탕수육,탕평채,깍두기,S핫케이크,S우유(100ml),,,,,
S파인애플,,완두콩밥,어묵국,닭가슴살채소볶음,감자전,배추김치,S머핀,S우유(150ml),,,,,
S자두,,수수밥,안매운닭개장,새우살칠리소스볶음,콩나물무침,깍두기,S소보로빵,S우유(150ml),,,,,
S두부들깨죽,,차조밥,안매운김칫국,돼지고기파프리카볶음,상추부추무침,깍두기,S삶은달걀,S우유(150ml),,,,,
S블루베리,S우유(100ml),쇠고기볶음밥,유부장국,고구마맛탕,,배추김치,S(우유제외)수박화채,,,,,,
S닭죽,,기장밥,애호박맑은국,고등어구이,노각무침,배추김치,S무지개떡,S우유(150ml),,,,,
S사과,S우유(100ml),찹쌀현미밥,양배추된장국,영양찜닭,느타리버섯볶음,깍두기,S영양밥전,S오미자차,,,,,
S우유(200ml),,흑미밥,미역국,쇠고기굴소스볶음,진미채무침,배추김치,S치즈주먹밥,S보리차,,,,,
S복숭아(황도),S우유(150ml),흑미밥,콩가루배추국,돈육간장볶음,우엉잡채,깍두기,S토마토스크램블에그,,,,,,
S우유(200ml),,완두콩밥,어묵국,닭가슴살채소볶음,감자전,배추김치,S머핀,S파인애플,,,,,
S자두,,수수밥,안매운닭개장,새우살칠리소스볶음,탕평채,깍두기,S소보로빵,S우유(150ml),,,,,
S두부들깨죽,,차조밥,조랭이떡국,돼지고기파프리카볶음,상추부추무침,배추김치,S삶은달걀,S우유(150ml),,,,,
S수제블루베리우유,,쇠고기볶음밥,유부장국,마카로니오이샐러드,,배추김치,S수박,,,,,,
S닭죽,,기장밥,애호박맑은국,고등어구이,노각무침,배추김치,S무지개떡,S우유(150ml),,,,,
S사과,S우유(200ml),찹쌀현미밥,양배추된장국,순살간장닭갈비,느타리버섯볶음,깍두기,S영양밥전,S오미자차,,,,,
S우유(200ml),,흑미밥,미역국,쇠고기굴소스볶음,진미채무침,배추김치,S치즈주먹밥,S보리차,,,,,
S복숭아(황도),S우유(200ml),흑미밥,콩가루배추국,돼지고기곤약볶음,우엉잡채,배추김치,S토마토스크램블에그,,,,,,
S옥수수죽,,수수밥,북엇국,두부버섯스테이크,김구이,배추김치,S치즈스틱,S떠먹는요구르트(100ml),,,,,
S수박,,완두콩밥,달걀팟국,돼지고기떡볶음,고구마순들깨나물,배추김치,S피자빵,S우유(150ml),,,,,
S오트밀죽,,보리밥,청국장찌개,쇠고기파프리카볶음,땅콩우엉조림,배추김치,S물만두,,,,,,
S오트밀죽,,보리밥,청국장찌개,채소달걀찜,우엉조림,배추김치,S물만두,S떠먹는요구르트(100ml),,,,,
S복숭아(황도),,차조밥,애호박맑은국,대구살조림,오이초절임,배추김치,S유부초밥,S우유(150ml),,,,,
S우유미숫가루,,김가루주먹밥,미소된장국,배추김치,S사과,배추김치,S백설기(80g),S식혜,,,,,
S바나나,,수수밥,들깨버섯국,돈사태떡찜,열무나물,배추김치,S프렌치토스트,S우유(150ml),,,,,
S애호박두부죽,,검정콩밥,대구살맑은국,달걀장조림,느타리버섯볶음,깍두기,S약식,S우유(150ml),,,,,
S파인애플,,안매운마파두부덮밥,콩나물국,스크램블에그,,깍두기,S카스텔라,S우유(150ml),,,,,
S씨리얼,S우유(150ml),흑미밥,아욱된장국,돼지고기수육,양배추찜,배추김치,S오이비빔국수,,,,,,
S흑임자죽,,기장밥,동태살무국,도라지배무침,순두부+양념장,배추김치,S단호박샐러드,S우유(200ml),,,,,
S포도,,하이라이스,콩나물국,메추리알피망케첩조림,,배추김치,S핫케이크,S우유(150ml),,,,,
S대구채소죽,,잡곡밥,쇠고깃국,참치김치볶음,감자조림,깍두기,S참외,S떠먹는요구르트(100ml),,,,,
S수박,,수수밥,열무된장국,찹쌀탕수육,탕평채,깍두기,S백설기(80g),S우유(150ml),,,,,
S떠먹는요구르트(100ml),,달걀볶음밥,어묵국,배추김치,무초절임,배추김치,S머핀,S우유(150ml),,,,,
S자두,,기장밥,(저염)닭곰탕,고등어카레구이,노각무침,깍두기,S소보로빵,S우유(150ml),,,,,
S두부들깨죽,S떠먹는요구르트(100ml),차조밥,조랭이떡국,돼지고기파프리카볶음,부추무침,배추김치,S삶은달걀,S오렌지주스,,,,,
S블루베리,S우유(150ml),쇠고기볶음밥,유부장국,감자채요거트샐러드,,배추김치,S증편,S(우유제외)수박화채,,,,,
S감자우유죽,,수수밥,건새우아욱국,동태전,콩자반,배추김치,S무지개떡,S우유(150ml),,,,,
S사과,S우유(150ml),찹쌀현미밥,북엇국,닭가슴살숙주볶음,오이나물,깍두기,S영양주먹밥,S오미자차,,,,,
