name,weight,Class,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
무미역무침,23.4,샐러드,14.108,0.42032,0.3829,2.69969,0.4352,10.819,0.12898,69.046,13.78733333,0.025125,0.033389,1.62805,163.8856,6.59236
무미역생채,32.5,샐러드,16.065,0.5447,1.05445,1.7736,0.09,26.28,0.21015,92.575,23.68416667,0.018,0.02782,3.351,419.9177,6.8122
무사과무침,48,샐러드,49.52,0.6323,2.1829,7.4669,1.268,7.45,0.2284,97.72,26.305,0.02178,0.09845,1.3646,945.711,20.0096
무생채,35.8,샐러드,6.532,0.26114,0.04855,1.4532,0.292,8.311,0.07505,69.327,1.343833333,0.02175,0.012824,2.59272,19.18476,4.15332
무채무침,28.6,샐러드,11.97,0.2642,0.33638,2.13718,0.183,8.512,0.0964,68.766,0.085166667,0.0171,0.01437,1.9536,89.996,3.52064
무초절임,34.3,샐러드,12.26,0.1894,0.0272,3.014,0.18,7.16,0.0572,102.631,0.1,0.018,0.01818,2.202,7.4104,2.943
물미역무초무침,27.2,샐러드,5.724,0.57665,0.05552,1.43332,0.08,25.038,0.19961,116.022,23.88916667,0.01583,0.033348,3.0195,2.9387,1.2309
미나리나물,35.8,샐러드,10.894,0.69948,0.37714,1.65474,1.2598,17.64,0.15482,68.984,28.0915,0.007926,0.076206,1.30822,155.96506,25.17266
미나리무생채,40.2,샐러드,17.334,0.65662,0.30582,3.54746,1.2822,13.638,0.19588,2.294,20.38216667,0.02628,0.080134,2.202,157.1965,16.78272
미나리무침,35.9,샐러드,13.399,0.68542,0.67567,1.60186,1.2532,17.753,0.15843,69.028,28.09425,0.00769,0.075864,1.2845,280.71235,26.77487
미나리사과무침,50,샐러드,49.14,0.8507,2.212,7.1805,1.73,12.23,0.2685,98.33,47.45666667,0.01877,0.12619,1.18,959.7129,29.1541
미나리숙주나물,41.2,샐러드,12.314,0.79767,0.62817,1.27406,0.8922,10.448,0.13468,25.699,8.15675,0.023885,0.051634,2.539,257.44335,12.52337
미나리초무침,37.7,샐러드,17.619,0.76122,0.69907,2.67746,1.3012,18.053,0.18343,41.074,31.45591667,0.00769,0.079584,1.2845,293.13095,27.91947
미니새송이버섯무침,38,샐러드,18.58,1.2645,1.0519,2.7997,1.031,1.63,0.1831,97.92,0.009166667,0.01408,0.12418,0,448.4755,5.3407
미역나물,38,샐러드,17.53,1.233,1.1009,2.1172,0.016,53.08,0.4351,309.32,55.13416667,0.02178,0.08218,5.25,416.2125,5.3407
미역매실청무침,45,샐러드,26.6,1.2434,1.1014,4.371,0.031,53.39,0.4461,309.44,55.13416667,0.02348,0.08483,5.2785,416.2489,5.3407
미역무침,40,샐러드,32.27,1.4926,2.5479,2.3369,0.157,62.05,0.5165,309.5,55.15416667,0.02523,0.1122,5.25,1013.7355,12.3965
미역초무침,27.2,샐러드,6.924,0.60865,0.05052,1.76532,0.19,24.238,0.20161,115.722,23.8725,0.01343,0.032348,2.8735,2.2127,0.3459
바나나사과키위샐러드,60,샐러드,41.8,0.8895,0.56,9.2195,0.675,20.45,0.229,4.9,6.766666667,0.03395,0.03775,12.3045,15.0555,3.877
